"FieldName","FieldLabel","DataType","SourceTable","ValueSet"
"ABX_EKG","Abnormal EKG","Selection","GeneralModel","ABX_EKG"
"ABXCHEST_YN","Did the patient have an abnormal chest X-ray?","Selection","GeneralModel","ABXCHEST_YN"
"ACF","Did patient have any abnormal or significant clinical findings on physical exam?","Selection","GeneralModel","ACF"
"ACF_ABNORMAL_PUPILS","Abnormal pupils","Selection","GeneralModel","ACF_ABNORMAL_PUPILS"
"ACF_ABNORMAL_PUPILS_SPECIFY","Specify abnormal pupils","Selection","GeneralModel","ACF_ABNORMAL_PUPILS_SPECIFY"
"ACF_ABNORMAL_PUPILS_SPECIFY_APPEARANCE","Specify abnormal pupils appearance","Selection","GeneralModel","ACF_ABNORMAL_PUPILS_SPECIFY_APPEARANCE"
"ACF_ALTERED_MENTAL_STATUS_EXAM","Altered mental status by exam","Selection","GeneralModel","ACF_ALTERED_MENTAL_STATUS_EXAM"
"ACF_ALTERED_MENTAL_STATUS_EXAM_ABNORMAL_DESC","Describe mental status","TextArea","GeneralModel",""
"ACF_BUBO","Bubo","Selection","GeneralModel","ACF_BUBO"
"ACF_BUBO_DESCRIBE","Describe bubo","TextArea","GeneralModel",""
"ACF_CEREBELLAR_EXAM","Cerebellar exam","Selection","GeneralModel","ACF_CEREBELLAR_EXAM"
"ACF_CONJUCTIVAL_IRRITATION_DISCHARGE","Conjuctival irritation/discharge","Selection","GeneralModel","ACF_CONJUCTIVAL_IRRITATION_DISCHARGE"
"ACF_CONJUNCTIVAL_INJECTION","Conjunctival infection (redness)","Selection","GeneralModel","ACF_CONJUNCTIVAL_INJECTION"
"ACF_CONJUNCTIVAL_INJECTION_UNI_BI_LATERAL","Unilateral or bilateral","Selection","GeneralModel","ACF_CONJUNCTIVAL_INJECTION_UNI_BI_LATERAL"
"ACF_CONJUNCTIVITIS","Conjunctivitis","Selection","GeneralModel","ACF_CONJUNCTIVITIS"
"ACF_CRANIAL_NERVES","Cranial nerves","Selection","GeneralModel","ACF_CRANIAL_NERVES"
"ACF_CRANIAL_NERVES_ABNORMAL_DESC","Describe cranial nerve abnormalities","TextArea","GeneralModel",""
"ACF_HALLUCINATIONS","Hallucinations","Selection","GeneralModel","ACF_HALLUCINATIONS"
"ACF_HEMIPARESIS","Hemiparesis (weakness on one side of the body)","Selection","GeneralModel","ACF_HEMIPARESIS"
"ACF_HYPERTENSION","Hypertension","Selection","GeneralModel","ACF_HYPERTENSION"
"ACF_HYPOTENSION","Hypotension","Selection","GeneralModel","ACF_HYPOTENSION"
"ACF_HYPOTENSION_LOWEST_SYSTOLIC_BP","Lowest systolic BP mmHg","Number","GeneralModel",""
"ACF_LEVEL_ALERTNESS","Level of alertness","Selection","GeneralModel","ACF_LEVEL_ALERTNESS"
"ACF_LEVEL_ALERTNESS_COMA_DATE","Date of coma onset","Date","GeneralModel",""
"ACF_LEVEL_ALERTNESS_OTHER_DESC","Specify other level of alertness","String","GeneralModel",""
